text,location,phase
great job rohit 4464 amp boomzy1231 sosmumbaisosmumbai,mumbai,2
true use speak always roads uttar pradesh good job sir,delhi,2
sunitayadav great job inspiration nation lady cops nation amitshah please take strict action set strong example sunitayadavsunitayadav sunitayadav,delhi,2
ivanka trump tells workers find something new — old jobs arent coming back,delhi,2
70 plus allowed hold position politics 60 plus allowed consultant corporates government jobs,delhi,2
hum kya cheez guys like sachin pilot fired sachinpilot timesofindia timesnow quit jobs mostly bosses shithappens sachinpilotsacked congressparty beerparty freshstart newstartshithappens sachinpilotsacked congressparty beerparty freshstart newstart,delhi,2
housing create jobs credai action committee nar india joined hands promoting petition government india prime ministers office urban housing ministry finance ministry real estate revive economy india https bit ly 2xf224f,kolkata,2
sense make halt recruitment railways middle dire unemployment crisis april year 27 million youth aged 20 30 years lost jobs stoprailwaysabotagestoprailwaysabotage,kolkata,2
love love design build phone vivo india done great job aspect vivox50seriesvivox50series vivox50series,kolkata,2
also whore sharing low marks prove marks doesnt matter look successful youre right marks dont matter land jobs india often caste class position important help land jobs cbseresults cbseresults2020 boardresultcbseresults cbseresults2020 boardresult,kolkata,2
india india pls job today guys,kolkata,2
sir respect decision im thinking 15k insure medical person save life instead giving 15k loss life thinking face,chennai,2
lockdown triggers loss,chennai,2
answer u need much convinced risk reward every leg punch side ready accecpt loss profits positions great disipline without emotions started becoming professional trader,chennai,2
condolences family ’ big loss wesaluterrajkumarwesaluterrajkumar,chennai,2
eas protect loss inventory related shoplifting employee theft error fraud electronicsecurity electronicarticlesurveillance eas securitysystems securitysystem… https www instagram com p cclevcifkkd igshid dooc51ww8fx5electronicsecurity electronicarticlesurveillance eas securitysystems securitysystem,chennai,2
hope kapil sibal ’ ghost got famous zero loss winking face tongue kapilsibal,bangalore,2
rip sister loudly crying face big loss rmm https,bangalore,2
sachinpailot huge loss incindia always admired sachinpilot amp sindhia unfortunately going compromise fascist ideology first thing congress needs stop appraising dynastic lesderssachinpailot,bangalore,2
watched extended highlights heavy stuff one even get loss like truly inspirational stuff years come folded hands medium light skin tone,bangalore,2
indeed loss common man,bangalore,2
crying face rip saifabad palace heritage consigned memories photos among first particularly precious sometimes unavoidable make loss less sad cc hyderabadtrails,hyderabad,2
airtel presence vodafonein idea must sue govt amp get compensation period loss,hyderabad,2
’ progress one month challenge taken losing weight healthy way lost 7 kg one month starting healthy weight loss program tyre like tummy gone work progress… https www instagram com p ccnlkavp ha igshid 1ocv58sy4tppa,hyderabad,2
hope recover loss last us 2 game also release,hyderabad,2
wow hes start weight loss program,hyderabad,2
really sad shocking heartfelt salute respect smt debdatta roy folded hands india may god give immense strength family bear irreparable loss,mumbai,2
everyone supporting sachinpilot criticising nepotism exactly month back tragic loss itsssr much convenience hypocrisykiseemasachinpilot hypocrisykiseema,mumbai,2
sachin pilot huge huge loss congesss may numbers right definitely national level politician though never found young politician impressive much man aggression,mumbai,2
cardio overnight fast maximise fat loss reference apa schoenfeld brad ms cscs cardio overnight fast maximize fat loss strength conditioning journal february 2011 volume 33… https www instagram com p ccoqtksbm4w igshid dix0s9eqt7jz,mumbai,2
sachin pilot ’ exist irreparable loss congress distraction congress started sachin pilot win seats congress brought independent party congress sachin pilot vadrassackpilot republiccongress sachin pilot vadrassackpilot,mumbai,2
realdonaldtrump whatever want think unfortunately pm narendramodi whatever india wants american loss greatest potusindia american,delhi,2
midst losing found losing gained new perspective found developed new emotion never encouraged existence never loss gift thank finding letting,delhi,2
congress loss rajasthan like west bengal keep post,delhi,2
piyushgoyal loss railway achievement,delhi,2
sorry loss hope better place ’ takes big person recognise made mistake even bigger person admit social media,delhi,2
want invocation articles 356 save democracy loss life,kolkata,2
work party given credit respect shoe licker like others sacking loss congress pilot,kolkata,2
per sreenivasanjain dire need hr expert like pandiarajan sir congress hope ’ take offer would loss tamilnadu https twitter com sreenivasanjain status 1282896927432957952 21 tamilnaducoronaupdate tamilnadupoliticscongress tamilnadu tamilnaducoronaupdate tamilnadupolitics,kolkata,2
cm behalf govt west bengal salute spirit sacrifice shes made service people bengal spoke husband today amp extended deepest condolences may departed soul rest peace amp lord give family strength endure loss 2 2bengal,kolkata,2
latest secret updates victorias secret 1 pmoli xijinpings cousins cousin 2 kpoli diagnosed short term memory loss disease lordrams birthplace statement tested chinas wao lee chu kachi hospital kpsharmaoli bcpmoli xijinping kpoli lordram kpsharmaoli,kolkata,2
thank hdfc recognising ‘ neighbourhood hero ’ supporting migrant labourers appreciations team chennai india https www instagram com p cclbkjldcrd igshid tng4mupmww2qhdfc,chennai,2
really necessary shoots wait till year end migrant workers daily wage labourers need work badly midst pandemic incase aware unlock dosent mean virus gone time spread,chennai,2
drharshvardhan good see said u take srbachchan didnt u tell migrants thing sir ji roads money n fame matters poor lives didnt matter months u n ur bjp4india rahulgandhi pls take note,chennai,2
many migrant workers many regular people dont care taking precautions wholesale markets chennai remained open till mid may,chennai,2
4 neighbour also leaves sometime hometown husband home also car chennai able access anything even makes chennai stuck like homeless migrant,chennai,2
pmoindia dear sir lockdown solution please stop passenger train services flight interstate travel services migrant labour already reached home focus economic growth,bangalore,2
congress led government party ran around arrange travel migrant workers across india,bangalore,2
three minutes bangalore goes back lockdown week hope time spent ramping medical infrastructure financial aid populations whose livelihood impacted covid related restrictions like migrant workers sex workers,bangalore,2
railways providing employment migrant workers pm garib kalyan rojgar yojana far employment equal 90 000 man days generated 138 railway sites aatmanirbharbharataatmanirbharbharat,bangalore,2
concerned rapid increase covid19 cases state ind support govt containing impact relockdown solution disrupt mfg operations deter migrant workers return ind would fail meeting domestic export commitments bad economy,bangalore,2
railminindia providing employment migrant workers pmgky employment generated equal 90 000 man days 138 railway sites 328cr paid aatmanirbharbharat garibkalyanrozgaryojana bjp4india narendramodi piyushgoyal bjp4telangana bjpitcelltspmgky aatmanirbharbharat garibkalyanrozgaryojana,hyderabad,2
migrants stranded people wait outside secunderabad railway station board trains indian railways resumes 200 trains following easing restrictions government ongoing nationwide lockdown amid coronavirus pandemic june 1 2020 hyderabadmigrants stranded railways coronavirus pandemic hyderabad,hyderabad,2
opportunities migrant workers pm garib kalyan rojgar abhiyan new impetus rural welfare amp development employment amp self employment opportunities according interests amp skills workers 125 days campaign 116 dist aatmanirbharbharatabhiyan bjpitcelltsaatmanirbharbharatabhiyan,hyderabad,2
using skill hardwork returned migrant workers rural development pm garib kalyan rojgar yojana list 25 works scheme aatmanirbharbharat modicares4poor bjp4india pmoindia bjp4telangana bjpitcelltsaatmanirbharbharat modicares4poor,hyderabad,2
migrant worker kalahandi odisha shares life experiences lockdown rap music gives peace mind https youtu gdtzxzjnezw danielumi cmidtrustrap,hyderabad,2
bench led cj datta hearing pil highlighting plight migrants stranded maharashtra bench also noted supremecourt order slamming officeofut govt failing check migrants want go back hometowns fpjindiacj pil migrants maharashtra supremecourt migrants,mumbai,2
passing observation chiefjustice bombayhc said westbengal govt changing position issue migrants time time somehow mamataofficial govt mismanaged issue though want comment anyone fpjindiachiefjustice bombayhc westbengal migrants,mumbai,2
bjp pm r wholly solely responsible covid migrant mess uts office handled covid 19 admirably inspote constraints dharavi handling praised even,mumbai,2
ending making india people st scans dalith peoples call believe dalith leaders cheaters indian migrants call hatvo criminal modi konext cheating google joint thinking http modi google cheater,mumbai,2
must migrants area keep hovering around bikes alert keep eye activities,mumbai,2
mam working ground level n everyday trying help migrants delhi utilize scheme generation e coupon thru b availed stopped say scheme availed delhi adeshguptabjp,delhi,2
great decision drrpnishank ji give admission dont ask tc hrd ministry issues guidelines education migrant workers children,delhi,2
circumstances prevailing westbengal central govt expect holding free amp fair assembly elections ensure free amp fair election w bengal govt first ensure illegal migrants name removed voter list amp election held president rulewestbengal,delhi,2
media common man starts questioning two india would change questioning several failures 1 demonitisation 2 wrong implementation gst 3 crumbling economy 4 highest unemployment 5 covid mismanagement 6 cruel treatment migrants etc,delhi,2
ache din 2 0 migrants road economy tatters dissenters jail even doctors jail freedrkafeelfreedrkafeel,delhi,2
issue migrants strong impact freedom press expression,kolkata,2
india lies dictates designed diversion stories wasting 1000s cr gimmick happening last six years millions hardworking migrants walked road country reach homes worst human torture leaders enjoys lavish life oil gas peak,kolkata,2
given misery migrant workers face hands bjp government centre astonishing party would choose cause prolonged pain altering law put place protect भाजपा का जंगलराज,kolkata,2
